Date,Open,High,Low,Close,Volume
2016-03-01,703.62,718.81,699.77,718.81,2147442
2016-03-02,719.0,720.0,712.0,718.85,1627753
2016-03-03,718.68,719.45,706.02,712.42,1956761
2016-03-04,714.99,716.49,706.02,710.89,1967873
2016-03-07,706.9,708.09,686.9,695.16,2985094
2016-03-08,688.59,703.79,685.34,693.97,2063357
2016-03-09,698.47,705.68,694.0,705.24,1418704
2016-03-10,708.12,716.44,703.36,712.82,2829412
